total_buildings,buildings_w_height_measurement,percent_buildings_with_height,min_height,quantile_0.05,mean_height,quantile_0.95,quantile_0.99,max_height,city,number_localities
249104,218925,0.8788497976748667,2.5000433921813965,2.904160690307618,4.778867288632822,7.492936706542968,10.260687828063965,35.29393768310547,"Akron, OH",1469
193830,157245,0.8112521281535366,2.5000417232513428,2.809606838226318,4.597528572175616,7.252353668212889,10.627929687499996,29.310951232910156,"Albany--Schenectady, NY",1720
30310,30242,0.9977565160013196,4.1526513086864725e-5,1.68479585647583,3.905532404696393,6.926514720916746,10.038244915008544,27.721609115600582,"Albany, GA",135
25067,24696,0.9851996648980732,1.353912812191993e-4,1.448745608329773,3.749335829109583,5.662659525871277,6.466337060928343,17.526947021484375,"Albany, OR",190
300979,230661,0.7663690822283282,2.5000200271606445,2.771610975265503,4.189507624436315,5.96287202835083,8.36949977874755,58.02487564086914,"Albuquerque, NM",2631
10086,9120,0.9042236763831052,2.5012006759643555,3.0251633763313293,4.8288637169620445,6.9318369865417475,8.586166954040525,26.631576538085938,"Alexandria, MN",146
198672,157553,0.7930307240074091,3,3.189920949935913,4.710068106146634,6.745755672454834,9.326306800842286,28.329151153564453,"Allentown--Bethlehem, PA--NJ",1137
41752,41560,0.9954014178961488,3.4861426684074104e-4,1.868117541074753,4.0534558862889005,6.717929601669306,9.480992879867536,24.775070190429688,"Alton, IL",131
89816,88915,0.9899683797986996,2.106815518345684e-4,1,3.7261112428640297,5.611222982406617,7.005504436492921,30.79305076599121,"Amarillo, TX",199
14129,13389,0.9476254511996602,1.6770082584116608e-4,2.3634544849395756,4.804491981796576,7.473560428619383,9.706381988525386,27.76028823852539,"Ames, IA",211
26051,19708,0.7565160646424322,2.5001220703125,2.981773030757904,4.794416546700619,7.428554010391234,10.4467915058136,29.72842788696289,"Amherst Town--Northampton--Easthampton Town, MA",890
9770,9762,0.9991811668372568,0.00300075020641088,2.3936761021614075,4.559091698568653,6.37685523033142,7.861468076705932,24.35645294189453,"Anacortes, WA",195
64205,54169,0.8436881862783272,3,3.374576139450073,5.048135922771081,7.017589092254639,10.001501731872557,29.82404327392578,"Anchorage, AK",994
49640,43308,0.8724415793714746,2.5004775524139404,2.931856405735016,5.097032986602658,8.840617799758911,13.478886785507203,23.808988571166992,"Anderson--Clemson, SC",249
41252,33938,0.8226995054785222,2.5,2.716191184520721,4.070723169630717,6.141803979873657,8.139087629318237,25.378952026367188,"Anderson, IN",363
99616,99323,0.9970587054288468,2.606202906463295e-4,2.178658127784729,4.917584477495618,7.830068778991698,10.287276039123531,36.12925720214844,"Ann Arbor, MI",1861
102908,86846,0.8439188401290473,2.5001368522644043,2.898312747478485,4.6709898468609286,6.223317861557007,7.475619268417367,31.94559097290039,"Antioch, CA",100
99121,98376,0.9924839337779078,4.719429853139445e-5,1.976042002439499,3.9554013117917335,6.030478239059448,7.641428709030151,27.70836067199707,"Appleton, WI",695
14636,14490,0.9900245968843946,5.665722419507802e-4,1.0002224624156952,3.996356487257282,6.610446238517762,10.50003524780274,20.52712059020996,"Aransas Pass--Port Aransas--Ingleside, TX",311
6657,5841,0.8774222622803064,2.5012946128845215,2.9226603507995605,4.4355415410935075,6.003140926361084,7.744929122924805,22.50533103942871,"Arcata, CA",289
23147,20286,0.8763986693740009,2.500189304351806,2.785713851451874,4.223400215948402,5.854603171348572,6.840975499153142,14.973641395568848,"Arroyo Grande--Grover Beach--Pismo Beach, CA",185
127862,108467,0.8483130249800567,2.50012731552124,2.8399652004241944,5.068358564312647,8.94346694946289,13.35332521438598,31.087392807006836,"Asheville, NC",2423
2975,2841,0.9549579831932772,2.5055227279663086,3.1968929767608643,5.1252980330425935,6.9742937088012695,8.564908218383787,11.736184120178224,"Aspen, CO",121
6850,6836,0.997956204379562,0.00407963432371616,2.4299744963645935,4.638091577682644,6.573652267456055,8.25916204452514,25.326416015625,"Astoria, OR",193
20661,20353,0.985092686704419,0.00220118858851492,2.2809726715087892,5.097897905302498,9.59207382202148,14.081906623840332,27.571971893310547,"Athens-Clarke County, GA",772
