NAME20,INTPTLAT20,INTPTLON20,Area
"Brookhaven, MS","+31.5861258","-090.4456305",26048894.013999998569489
"Grand Island, NE","+40.9248409","-098.3569721",77360591.116999998688698
"Fairbury, NE","+40.1447383","-097.1765035",6122868.416000000201166
"Pratt, KS","+37.6473691","-098.7318900",9493556.000000000000000
"Lincoln, NE","+40.8089549","-096.6789437",246890674.051999986171722
"Newport, AR","+35.6163919","-091.2592533",11914441.119000000879169
"Bedford, VA","+37.3391416","-079.5249041",22241929.057999998331070
"Pine Bluff, AR","+34.2326970","-092.0489810",116390842.070999994874001
"Camdenton, MO","+38.0046725","-092.7752672",22974334.978999998420477
"Franklin, LA","+29.7971873","-091.5051051",16207004.607000000774860
"Hillsboro, TX","+32.0145234","-097.1128234",15461760.642999999225140
"El Dorado, KS","+37.8193514","-096.8662482",19313070.401000000536442
"Granbury, TX","+32.4144885","-097.7800015",61379721.296999998390675
"Elkhart, IN--MI","+41.6623383","-085.9244955",253978458.433999985456467
"Bowling Green, OH","+41.3740214","-083.6512303",29577779.730000000447035
"Arkansas City, KS","+37.0656141","-097.0405278",17694799.730999998748302
"Marshall, TX","+32.5373136","-094.3591816",41922079.934000000357628
"Little Falls, NY","+43.0455747","-074.8575164",8992014.835999999195337
"Clarksville, AR","+35.4681804","-093.4692898",20301773.326999999582767
"Corinth, NY","+43.2408636","-073.8337105",8082346.867999998852611
"Honesdale, PA","+41.5625546","-075.2481139",10852873.990000002086163
"Sulphur Springs, TX","+33.1294707","-095.6041180",28528039.206999994814396
"Commerce, TX","+33.2441468","-095.9015861",8713381.210000000894070
"Shawnee, OK","+35.3399620","-096.9229468",49037121.162000000476837
"Chittenango, NY","+43.0511327","-075.8824126",5605432.303000000305474
"Huntsville, TX","+30.7148051","-095.5466413",44763329.656999997794628
"Lake Conroe Eastshore, TX","+30.4271410","-095.5764700",20144989.002999998629093
"Sulphur, OK","+34.5114130","-096.9775502",8560650.364000000059605
"Monticello, IN","+40.7609387","-086.7617725",34148919.403999999165535
"Ville Platte, LA","+30.6912208","-092.2794315",12712191.035000000149012
"Geneseo, NY","+42.7989434","-077.8053412",6243398.900999999605119
"Rockland, ME","+44.0888007","-069.1213392",34557952.447999998927116
"Traverse City--Garfield, MI","+44.7409262","-085.6114239",143730852.539999991655350
"Madison, IN","+38.7741671","-085.3884100",28013769.954999998211861
"Vincennes, IN","+38.6762008","-087.5058393",31216281.767999999225140
"Nebraska City, NE","+40.6750778","-095.8622242",10855936.725999999791384
"Batavia, NY","+43.0028806","-078.1760378",21016312.885000001639128
"Le Roy, NY","+42.9759343","-077.9820296",7739227.020999999716878
"Campbellsville, KY","+37.3525542","-085.3464954",22299612.776000000536442
"Rushville, IN","+39.6136985","-085.4473435",7471208.066999999806285
"Crystal Springs, MS","+31.9847770","-090.3560837",10270649.957000000402331
"Glasgow, KY","+37.0025217","-085.9222947",30620163.840999998152256
"Leesville, LA","+31.1399109","-093.2687395",17923742.109000001102686
"Houlton, ME","+46.1236325","-067.8408177",6486809.480999999679625
"Algona, IA","+43.0739876","-094.2286733",8694876.218000000342727
"Waterbury, CT","+41.5454294","-073.0420363",243451691.227000027894974
"London, OH","+39.8984429","-083.4406876",13180061.391000000759959
"Fort Smith, AR--OK","+35.3760077","-094.3622062",192429125.122999995946884
"Watseka, IL","+40.7752295","-087.7307719",7423232.253999999724329
"Grove, OK","+36.5889804","-094.7866998",26391905.486999999731779
"Akron, OH","+41.0733416","-081.4953545",793719743.899000048637390
"Angola, IN","+41.6704526","-085.0308737",38082072.152000010013580
"Mendota, IL","+41.5512218","-089.1162513",7455446.940000000409782
"Streator, IL","+41.1249139","-088.8329253",21051799.438000001013279
"Point Pleasant--Gallipolis, WV--OH","+38.8639951","-082.1351783",26863887.936999998986721
"New Richmond, WI","+45.1137625","-092.5356187",12015042.960000000894070
"Wadena, MN","+46.4394167","-095.1402684",6790217.810000000521541
"Houma, LA","+29.6769937","-090.7494971",247382932.534000009298325
"Adrian, MI","+41.8992049","-084.0401802",35026165.641000002622604
"Flint, MI","+43.0121719","-083.6805397",536558738.577000021934509
"Leavenworth, KS","+39.2975044","-094.9202436",56222069.154999993741512
"Baton Rouge, LA","+30.4108393","-091.0328624",1037828677.098000049591064
"Ann Arbor, MI","+42.2373270","-083.6493908",384889025.105000019073486
"Port Huron, MI","+42.8723984","-082.4839052",137551951.192000001668930
"Midland, MI","+43.6288468","-084.2325355",99781063.013999998569489
"Princeton, IN","+38.3541243","-087.5745065",11016243.316999999806285
"Clintonville, WI","+44.6241516","-088.7602018",7162794.610000000335276
"Geneseo, IL","+41.4503561","-090.1543145",9729502.916999999433756
"Mount Vernon, IL","+38.3153554","-088.9161073",33422032.282999999821186
"Dubuque, IA--IL","+42.5032721","-090.6998865",88720436.570999994874001
"Seminole, OK","+35.2379378","-096.6707365",13916140.032999999821186
"Dixon, IL","+41.8414138","-089.4809783",21192298.846999999135733
"Lawrence, KS","+38.9595506","-095.2654681",78581521.549999997019768
