NAME20,INTPTLAT20,INTPTLON20,Area,Building_Data_Present
"Lebanon, IN",40.0503473,-86.4741941,21653538.47,FALSE
"Kokomo, IN",40.4671077,-86.1382527,84173242.6,FALSE
"Crawfordsville, IN",40.0411434,-86.9036428,25383709.02,FALSE
"Clarinda, IA",40.7380131,-95.0389085,6107156.258,FALSE
"St. Joseph, MO--KS",39.7613104,-94.8347327,115984309.2,FALSE
"Winnsboro, LA",32.1613937,-91.7206051,8358324.572,FALSE
"Monroe, LA",32.5215159,-92.116599,241306473,FALSE
"Eunice, LA",30.4933728,-92.4180979,18551828.71,FALSE
"St. Martinville, LA",30.1347993,-91.8282394,10804203.88,FALSE
"Slidell, LA",30.288613,-89.7727866,144420139.6,FALSE
"Demopolis, AL",32.5050051,-87.8318983,11840173.8,FALSE
"Monroeville, AL",31.5155112,-87.3248859,12581354.52,FALSE
"Indianola, MS",33.4461928,-90.6485836,13469709.98,FALSE
"Starke, FL",29.9477588,-82.1059668,15212257.39,FALSE
"Madisonville, TN",35.5160731,-84.3610387,18568122.59,FALSE
"Starkville, MS",33.453162,-88.8164218,50403705.05,FALSE
"Macon, MO",39.7399024,-92.4690922,13195715.41,FALSE
"Bogalusa, LA",30.7806186,-89.86476,28315983.57,FALSE
"Athens, TN",35.4525018,-84.6095214,40074467.36,FALSE
"Jennings, LA",30.2301665,-92.6538037,19981318.05,FALSE
"Conneaut, OH",41.9389558,-80.5873268,21483491.26,FALSE
"Laconia, NH",43.542236,-71.4436127,81072888.32,FALSE
"Palm Bay--Melbourne, FL",28.1878781,-80.6739659,779615979.7,FALSE
"West Columbia, TX",29.1468623,-95.6390879,10910788.16,FALSE
"Washington, NJ",40.7606206,-74.9852066,10708501.32,FALSE
"Kennett, MO",36.2402228,-90.0472205,16633264.91,FALSE
"Dodgeville, WI",42.965206,-90.1307363,8430122.712,FALSE
"Aurora, MO",36.9656449,-93.7204073,13711415.57,FALSE
"Waupun, WI",43.6291066,-88.7362462,11544108.62,FALSE
"Hastings, MI",42.6538971,-85.2963623,13192419.88,FALSE
"Boyne City, MI",45.2060225,-85.0007723,13941046.21,FALSE
"Sylacauga, AL",33.1698007,-86.2820599,50154918.53,FALSE
"Talladega, AL",33.4350856,-86.0962526,26168231.82,FALSE
"Escanaba, MI",45.7330323,-87.0841937,47192566.74,FALSE
"Antigo, WI",45.1426391,-89.1531968,12675645.34,FALSE
"Rock Hill, SC",34.9828473,-80.9717712,382889586.8,FALSE
"York, SC",34.9948157,-81.2333512,17059274.55,FALSE
"Crookston, MN",47.7764084,-96.606622,12039715.32,FALSE
"Rice Lake, WI",45.4953247,-91.7364561,21527058.69,FALSE
"Black River Falls, WI",44.2968853,-90.8491887,9601127.674,FALSE
