NAME20,INTPTLAT20,INTPTLON20,Area,,,,,,,,,,,,,,,,,,,,,,
"Bradford, PA--NY",+41.9638426,-078.6412140,15164312.31,,,,,,,,,,,,,,,,,,,,,,
"Sherman--Denison, TX",+33.6285961,-096.6267224,100008405.9,,,,,,,,,,,,,,,,,,,,,,
"Browns Mills, NJ",+40.0292032,-074.6156614,46351885.59,,,,,,,,,,,,,,,,,,,,,,
"Mena, AR",+34.5866830,-094.2476620,18172303.88,,,,,,,,,,,,,,,,,,,,,,
"Ripon, WI",+43.8445776,-088.8380965,11245562.87,,,,,,,,,,,,,,,,,,,,,,
"Ironwood, MI--WI",+46.4527878,-090.1752112,15775309.26,,,,,,,,,,,,,,,,,,,,,,
"Tama, IA",+41.9916175,-092.5856888,7428842.95,,,,,,,,,,,,,,,,,,,,,,
"Boone, IA",+42.0560760,-093.8754843,19709868.7,,,,,,,,,,,,,,,,,,,,,,
"Columbia, MO",+38.9433029,-092.3295218,174755360.7,,,,,,,,,,,,,,,,,,,,,,
"Boone, NC",+36.2138420,-081.6651967,47280542.11,,,,,,,,,,,,,,,,,,,,,,
"East Palestine, OH",+40.8416130,-080.5397242,7528276.885,,,,,,,,,,,,,,,,,,,,,,
"Deltona, FL",+28.9898049,-081.2596590,294844492.1,,,,,,,,,,,,,,,,,,,,,,
"Bainbridge, GA",+30.9049266,-084.5710576,28263798.78,,,,,,,,,,,,,,,,,,,,,,
"Camilla, GA",+31.2279064,-084.2071745,12320675.95,,,,,,,,,,,,,,,,,,,,,,
"Thomasville, GA",+30.8450909,-083.9584603,58477850.18,,,,,,,,,,,,,,,,,,,,,,
"Vieques (Vieques Municipio), PR",+18.1375995,-065.4415082,14365055.33,,,,,,,,,,,,,,,,,,,,,,
"Stillwater, OK",+36.1314960,-097.0744638,66132717.64,,,,,,,,,,,,,,,,,,,,,,
"Cleveland, MS",+33.7422657,-090.7252484,21322852.72,,,,,,,,,,,,,,,,,,,,,,
"Lawrenceburg, TN",+35.2467871,-087.3286657,25039658.4,,,,,,,,,,,,,,,,,,,,,,
"Hattiesburg, MS",+31.3180018,-089.3456036,168638615.7,,,,,,,,,,,,,,,,,,,,,,
"San Germán--Cabo Rojo--Sabana Grande, PR",+18.0784395,-067.0561429,184320103.4,,,,,,,,,,,,,,,,,,,,,,
"Elmira, NY",+42.0864045,-076.8251795,83278254.69,,,,,,,,,,,,,,,,,,,,,,
